2090,2090,2090,2220,2090,2220,2142,2090,2090,2090,2220,2090,2090,2220,2109.5,2220,2090,2090,2090,2220,2090,2220,2220,2090,2090,2090,2090,2220,2220,2090,2090,2090,2090,2090,2090,2090,2220,2090,2090,2090,2090,2215,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2158.75,2090,2220,2220,2090,2090,2030,2030,2030,2030,2030,2090,2220,2220,2220,2090,2090,2090,2090,2090,2090,2090,2090,2350,2350,2350,1760,1580,1610,1610,2210,2210,2210,1870
2090,2090,2142,2220,2109.5,2220,2103,2090,2090,2220,2220,2090,2090,2090,2220,2090,2090,2090,2090,2090,2090,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2090,2090,2090,2090,2090,2090,2090,2030,2030,2000,2000,1850,1730,1730,1500,1500,1500,1730,1730,1850
2090,2090,2090,2090,2220,2220,2135.5,2090,2090,2220,2090,2090,2090,2090,2090,2090,2129,2090,2220,2096.5,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2181,2129,2090,2090,2090,2090,2090,2133.75,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2040,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2260,2248,2260,2090,2090,2090,2090,2090,2090,2090,2030,2010,1760,1760,1760,1620,1610,1620,1760,1760,1880,1880,2030,2116
2090,2220,2090,2116,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2142,2090,2090,2220,2090,2129,2090,2090,2090,2090,2090,2090,2090,2207,2090,2090,2090,2090,2090,2090,2090,2090,2115,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2010,2000,1850,1760,1760,1880,1760,1980,2090,2350
2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2400,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2400,2450,2450,2450,2450,2450,2450,2450,2450,2350,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2360,2450,2450,2450,2430,2300,2300,2450,2450,2610,2450,2610,2610,2580
2090,2122.5,2155,2090,2090,2090,2090,2090,2220,2090,2090,2090,2135.5,2122.5,2090,2090,2096.5,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2090,2181,2090,2174.5,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2146.25,2090,2090,2090,2090,2090,2090,2090,2116,2090,2090,2090,2196.25,2090,2090,2090,2090,2260,2260,2260,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2210,2090,2090,2090,2220,2370,2610
2090,2220,2090,2090,2090,2090,2090,2090,2220,2090,2090,2220,2090,2090,2090,2090,2090,2090,2090,2194,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2161.5,2090,2090,2090,2140,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2215,2090,2090,2090,2220,2220,2220,2260,2090,2090,2090,2090,2090,2090,2090,2030,2010,1760,1760,1760,1760,1760,1760,1880,1880,2030,2030,2030,2380,2370,2400,2400,2400
2090,2090,2220,2148.5,2122.5,2220,2142,2090,2220,2090,2220,2220,2090,2090,2220,2220,2220,2220,2220,2122.5,2148.5,2116,2090,2090,2090,2220,2090,2090,2090,2220,2177.5,2090,2090,2215,2090,2090,2090,2133.75,2090,2090,2090,2090,2090,2090,2090,2090,2087.5,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2220,2090,2090,2090,2090,2090,2090,2030,2030,2030,1760,1760,1760,1760,1530,1400,1400,1590,1760,1760,1760,1760,1912.5,2370,2220,2050,2050
2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2260,2260,2260,2260,2430,2430,2430,2430,2430,2430,2430,2430,2090,2116,2090,2090,2090,2090,2090,2090,2090,2090,2090,2450,2450,2450,2450,2350,2350,2450,2350,2380,2430,2450,2450,2450,2450,2450,2220,2220,2220,2220,2450,2450,2350,2350,2350,2346,2350,2350,2430,2450,2450,2450,2090,2350,2450,2090,2090,2090,2310,2220,2420,2420,2090,2220,2220,2220,2400,2220,2400,2400,2400,2400
2090,2090,2090,2220,2220,2116,2090,2090,2103,2090,2090,2090,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2260,2220,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2260,2260,2350,2350,2350,2030,2030,2030,2260,2270,2260,2260,2340,2430,2430,2400,2400,2400,2400,2400,2400,2400,2400
2260,2260,2260,2260,2260,2260,2400,2400,2260,2351,2430,2320,2320,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2450,2450,2450,2450,2350,2350,2450,2350,2400,2440,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2350,2350,2450,2450,2450,2450,2450,2610,2610,2610,2610,2610,2445,2400,2142,2610,2602,2400,2400,2610,2610
2090,2142,2122.5,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2194,2090,2122.5,2090,2090,2090,2090,2220,2148.5,2207,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2212,2090,2220,2220,2220,2350,2350,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2030,2030,2030,2030,2206.5,2340,2140,2030,2130,2030,2030,2090,2220,2220,2400,2400,2400,2140,2210,2220
2090,2090,2090,2090,2213.5,2116,2090,2090,2090,2129,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2207,2090,2090,2090,2090,2090,2090,2215,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2220,2220,2220,2350,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2220,2030,2030,2030,2030,2030,2030,2030,2030,2050,2050,2050,2050,2050,2050,2050,2000,2000,2050,2140
2220,2220,2090,2090,2103,2090,2220,2220,2174.5,2220,2220,2090,2109.5,2090,2220,2090,2090,2090,2090,2090,2135.5,2090,2116,2090,2090,2090,2090,2215,2090,2215,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2210,2090,2220,2220,2220,2350,2350,2090,2090,2090,2090,2090,2090,2090,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2000,2000,2000,2050,2050,2050,2000,2000,2000,2000,2000,2000
